,Name,College_y
495,"Miller,Andre",Utah (1995–1999)
496,"Miskiri,Jason","['Montgomery  (1995–1997)', 'George Mason (1997–1999)']"
497,"Odom,Lamar",Rhode Island (1998–1999)
498,"Padgett,Scott",Kentucky (1994–1999)
499,"Palacio,Milt","['Midland (1995–1996)', 'Colorado State (1996–1999)']"
500,"Posey,James",Xavier (1996–1999)
501,"Profit,Laron",Maryland (1995–1999)
502,"Radojević,Aleksandar",Barton County CC (1997–1999)
503,"Robertson,Ryan",Kansas (1995–1999)
504,"Robinson,Eddie",Trinity Valley CC (1995–1996)Brown Mackie (1996–1997)Central Oklahoma (1998–1999)
505,"Rogers,Roy",Alabama (1992–1996)
506,"Ruffin,Michael",Tulsa (1995–1999)
507,"Salley,John",Georgia Tech (1982–1986)
508,"Stephens,Joe","['Colorado (1991–1993)', 'Little Rock (1994–1996)']"
509,"Szczerbiak,Wally",Miami (Ohio) (1995–1999)
510,"Tabak,Žan",
511,"Terry,Jason",Arizona (1995–1999)
512,"Thomas,Jamel",Providence (1995–1999)
513,"Thomas,Kenny",New Mexico (1995–1999)
514,"Türkcan,Mirsad",
515,"Turner,Wayne",Kentucky (1995–1999)
516,"Vinson,Fred","['Chowan (1989–1991)', 'Georgia Tech (1991–1994)']"
517,"Williams,Lorenzo",
518,"Willoughby,Dedric","['New Orleans (1992–1994)', 'Iowa State (1995–1997)']"
519,"World Peace,Metta",St. John's (1997–1999)
520,"Young,Tim",Oklahoma (2017–2018)
521,"Abdul-Rauf,Mahmoud",LSU (1988–1990)
522,"Alexander,Courtney", Park Skyhawks
523,"Bagarić,Dalibor",
524,"Barkley,Erick",St. John's (1998–2000)
525,"Bell,Raja","['Boston University (1994–1996)', 'FIU (1997–1999)']"
526,"Benoit,David","['Tyler JC (1986–1988)', 'Alabama (1988–1990)']"
527,"Blount,Mark",Pittsburgh (1995–1997)
528,"Cardinal,Brian",Purdue (1996–2000)
529,"Cleaves,Mateen",Michigan State (1996–2000)
530,"Collier,Jason","['Indiana (1996–1998)', 'Georgia Tech (1998–2000)']"
531,"Colson,Sean","['Rhode Island (1994–1995)', 'Hagerstown CC (1995–1996)', 'Charlotte (1996–1998)']"
532,"Crawford,Jamal",Michigan (1999–2000)
533,"Dooling,Keyon",Missouri (1998–2000)
534,"Edney,Tyus",UCLA (1991–1995)
535,"Edwards,Kevin",Lakeland CC (1984–1986)DePaul (1986–1988)
536,"El-Amin,Khalid",UConn (1997–2000)
537,"Fizer,Marcus",Iowa State (1997–2000)
538,"Garcés,Rubén","['Navarro  (1993–1995)', 'Providence (1995–1997)']"
539,"Garner,Chris",Memphis (1993–1997)
540,"Gill,Eddie","['USU Eastern (1996–1997)', 'Salt Lake CC (1997–1998)', 'Weber State (1998–2000)']"
541,"Goldwire,Anthony","['Pensacola State (1990–1992)', 'Houston (1992–1994)']"
542,"Goodrich,Steve",Princeton (1994–1998)
543,"Guyton,A.J.",Indiana (1996–2000)
544,"Hamilton,Zendon",St. John's (1994–1998)
545,"Hart,Jason",Syracuse (1996–2000)
546,"Harvey,Donnell",Florida (1999–2000)
547,"House,Eddie",Arizona State (1996–2000)
548,"Jackson,Marc","['VCU (1993–1994)', 'Temple (1995–1997)']"
549,"Jackson,Stephen",
550,"Johnson,DerMarr",Cincinnati (1999–2000)
551,"Joseph,Garth",Saint Rose (1994–1997)
552,"Langhi,Dan",Vanderbilt (1996–2000)
553,"Long,Art","['Dodge City CC (1992–1993)', 'Southeastern CC (1993–1994)', 'Cincinnati (1994–1996)']"
554,"Madsen,Mark",Stanford (1996–2000)
555,"Magloire,Jamaal",Kentucky (1996–2000)
556,"Martin,Kenyon",Cincinnati (1996–2000)
557,"Mason,Desmond",Oklahoma State (1996–2000)
558,"McClintock,Dan",Northern Arizona (1996–2000)
559,"McPherson,Paul","['Tallahassee CC (1996–1997)', 'Kennedy–King (1998–1999)', 'DePaul (1999–2000)']"
560,"Medvedenko,Stanislav",
561,"Mihm,Chris",Texas (1997–2000)
562,"Miles,Darius",
563,"Miller,Mike",Florida (1998–2000)
564,"Moïso,Jérôme",UCLA (1998–2000)
565,"Möttölä,Hanno",Utah (1996–2000)
566,"N'Diaye,Mamadou",UC Irvine (2013–2016)
567,"Nailon,Lee","['Southeastern Iowa CC (1995–1996)', 'Butler CC (1996–1997)', 'TCU (1997–1999)']"
568,"Nájera,Eduardo",Oklahoma (1996–2000)
569,"Newble,Ira","['Mississippi Gulf Coast CC (1993–1995)', 'Miami (Ohio) (1995–1997)']"
570,"Oyedeji,Olumide",
571,"Panko,Andy",Lebanon Valley (1995–1999)
572,"Penberthy,Mike",The Master's (1993–1997)
573,"Peterson,Morris",Michigan State (1995–2000)
574,"Porter,Chris","['Chipola (1996–1998)', 'Auburn (1998–2000)']"
575,"Postell,Lavor",St. John's (1996–2000)
576,"Przybilla,Joel",Minnesota (1998–2000)
577,"Redd,Michael",Ohio State (1997–2000)
578,"Richardson,Quentin",DePaul (1998–2000)
579,"Roberson,Terrance",Fresno State (1996–2000)
580,"Robinson,Jamal",Virginia (1993–1997)
581,"Robinson,Larry",
582,"Samake,Soumaila",
583,"Sánchez,Pepe",Temple (1996–2000)
584,"Santiago,Daniel","['New Mexico Military Institute (1994–1995)', 'New Mexico (1995–1997)', 'Saint Vincent (1997–1998)']"
585,"Scott,Shawnelle",St. John's (1990–1994)
586,"Smith,Jabari","['Atlanta Metropolitan State (1996–1998)', 'LSU (1998–2000)']"
587,"Smith,Mike","['Columbia (2016–2020)', 'Michigan (2020–2021)']"
588,"Smith,Tony",Marquette (1986–1990)
589,"Stevenson,DeShawn",
590,"Swift,Stromile",LSU (1998–2000)
591,"Tarlać,Dragan",
592,"Tsakalidis,Jake",
593,"Türkoğlu,Hedo",
594,"Vanterpool,David",St. Bonaventure (1991–1995)
595,"Voskuhl,Jake","High schoolStrake Jesuit  Prep(Houston, Texas)"
596,"Wolkowyski,Rubén",
597,"Zhizhi,Wang",
598,"Alexander,Victor",Iowa State (1987–1991)
599,"Allen,Malik",Villanova (1996–2000)
600,"Andersen,Chris",Blinn (1997–1999)
601,"Arenas,Gilbert",Arizona (1999–2001)
602,"Armstrong,Brandon",Pepperdine (1999–2001)
603,"Arroyo,Carlos",FIU (1997–2001)
604,"Bateer,Mengke",
605,"Battier,Shane",Duke (1997–2001)
606,"Bell,Charlie",Michigan State (1997–2001)
607,"Boumtje-Boumtje,Ruben",Georgetown (1997–2001)
608,"Bradley,Michael","['Kentucky (1997–1999)', 'Villanova (2000–2001)']"
609,"Brewer,Jamison",Auburn (1999–2001)
610,"Brezec,Primož",
611,"Brown,Damone",Syracuse (1997–2001)
612,"Brown,Ernest",Indian Hills CC (1999–2000)
613,"Brown,Kedrick",Northwest Florida State (1999–2001)
614,"Brown,Kwame",
615,"Brown,Tierre",McNeese State (1997–2001)
616,"Chandler,Tyson",
617,"Claxton,Speedy",Hofstra (1996–2000)
618,"Collins,Jarron",Stanford (1997–2001)
619,"Collins,Jason",Stanford (1997–2001)
620,"Crispin,Joe",Penn State (1997–2001)
621,"Curry,Eddy",
622,"Dalembert,Samuel",Seton Hall (1999–2001)
623,"Diop,DeSagana",
624,"Drobnjak,Predrag",
625,"Evans,Maurice","['Wichita State (1997–1999)', 'Texas (2000–2001)']"
626,"Fontaine,Isaac",Washington State (1993–1997)
627,"Ford,Alton",Houston (2000–2001)
628,"Forte,Joseph",North Carolina (1999–2001)
629,"Fotsis,Antonis",
630,"Fowlkes,Tremaine","['California (1994–1996)', 'Fresno State (1997–1998)']"
631,"Gasol,Pau",
632,"Griffin,Eddie",Seton Hall (2000–2001)
633,"Hamilton,Tang",Mississippi State (1997–2001)
634,"Hassell,Trenton",Austin Peay (1997–2001)
635,"Haston,Kirk",Indiana (1998–2001)
636,"Haywood,Brendan",North Carolina (1997–2001)
637,"Hunter,Steven",DePaul (1999–2001)
638,"James,Mike","['Eastern Arizona (2008–2010)', 'Lamar (2010–2012)']"
639,"Jefferson,Richard",Arizona (1998–2001)
640,"Johnson,Joe",Arkansas (1999–2001)
641,"Jones,Alvin",Georgia Tech (1997–2001)
642,"Jordan,Michael",North Carolina (1981–1984)
643,"Kirilenko,Andrei",
644,"McCaskill,Amal",Marquette (1992–1996)
645,"Morris,Terence",Maryland (1997–2001)
646,"Murphy,Troy",Notre Dame (1998–2001)
647,"Oliver,Dean",Iowa (1997–2001)
648,"Parker,Tony",
649,"Radmanović,Vladimir",
650,"Randolph,Zach",Michigan State (2000–2001)
651,"Rebrača,Željko",
652,"Richardson,Jason",Michigan State (1999–2001)
653,"Richardson,Norm",Hofstra (1997–2001)
654,"Sasser,Jeryl",SMU (1997–2001)
655,"Satterfield,Kenny",Cincinnati (1999–2001)
656,"Scalabrine,Brian","['Highline CC (1996–1997)', 'USC (1998–2001)']"
657,"Sesay,Ansu",Ole Miss (1994–1998)
658,"Simmons,Bobby",DePaul (1998–2001)
659,"Smith,Leon",
660,"Solomon,Will",Clemson (1998–2001)
661,"Thomas,Etan",Syracuse (1996–2000)
662,"Tinsley,Jamaal","['Mt. San Jacinto (1997–1999)', 'Iowa State (1999–2001)']"
663,"Torres,Óscar",
664,"Trepagnier,Jeff",USC (1997–2001)
665,"Varda,Ratko",
666,"Wallace,Gerald",Alabama (2000–2001)
667,"Watson,Earl",UCLA (1997–2001)
668,"White,Rodney",Charlotte (2000–2001)
669,"Woods,Loren","High schoolCardinal Ritter  Prep(St. Louis, Missouri)"
670,"Archibald,Robert",Illinois (1998–2002)
671,"Baston,Maceo",Michigan (1994–1998)
672,"Batiste,Mike","['Long Beach CC  (1995–1996)', 'Arizona State (1996–1999)']"
673,"Baxter,Lonny",Maryland (1998–2002)
674,"Boozer,Carlos",Duke (1999–2002)
675,"Bremer,J.R.",St. Bonaventure (1998–2002)
676,"Brown,Devin",UTSA (1998–2002)
677,"Burke,Pat",Auburn (1993–1997)
678,"Butler,Caron",UConn (2000–2002)
679,"Butler,Rasual",La Salle (1998–2002)
680,"Dickau,Dan","['Washington (1997–1999)', 'Gonzaga (2000–2002)']"
681,"Dixon,Juan",Maryland (1998–2002)
682,"Dunleavy,Mike",Duke (1999–2002)
683,"Ely,Melvin",Fresno State (1998–2002)
684,"Evans,Reggie","['Coffeyville CC (1998–2000)', 'Iowa (2000–2002)']"
685,"Gadzuric,Dan",UCLA (1998–2002)
686,"Ginóbili,Manu",
687,"Giriček,Gordan",
688,"Gooden,Drew",Kansas (1999–2002)
689,"Haislip,Marcus",Tennessee (1999–2002)
690,"Harrington,Adam","['NC State (1998–1999)', 'Auburn (2000–2002)']"
691,"Harrington,Junior",
692,"Hawkins,Juaquin",Long Beach State (1993–1996)
693,"Hilário,Nenê",
694,"Huffman,Nate","['Lansing CC (1993–1995)', 'Central Michigan (1995–1997)']"
695,"Humphrey,Ryan","['Oklahoma (1997–1999)', 'Notre Dame (2000–2002)']"
696,"Jacobsen,Casey",Stanford (1999–2002)
697,"Jarić,Marko",
698,"Jefferies,Chris","['Arkansas (1998–1999)', 'Fresno State (2000–2002)']"
699,"Jeffries,Jared",Indiana (2000–2002)
700,"Johnson,Ken",Ohio State (1997–2001)
701,"Jones,Fred",Oregon (1998–2002)
702,"Lampley,Sean",California (1997–2001)
703,"Maddox,Tito",Fresno State (2000–2001)
704,"Mason,Roger",Virginia (1999–2002)
705,"Ming,Yao",
706,"Murray,Ronald","['Meridian CC (1997–1999)', 'Shaw (2000–2002)']"
707,"Nachbar,Boštjan",
708,"Okur,Mehmet",
709,"Owens,Chris","['Tulane (1997–1998)', 'Texas (1999–2002)']"
710,"Pargo,Jannero","['Neosho County CC (1998–2000)', 'Arkansas (2000–2002)']"
711,"Parker,Smush","[' of Southern Idaho (1999–2000)', 'Fordham (2001–2002)']"
712,"Prince,Tayshaun",Kentucky (1998–2002)
713,"Rakočević,Igor",
714,"Rentzias,Efthimios",
715,"Rigaudeau,Antoine",
716,"Rucker,Guy",Iowa (1996–1999)
717,"Rush,Kareem",Missouri (1999–2002)
718,"Salmons,John",Miami (Florida) (1998–2002)
719,"Sampson,Jamal",California (2001–2002)
720,"Savović,Predrag","['UAB (1997–1998)', 'Hawaii (1999–2002)']"
721,"Shirley,Paul",Iowa State (1996–2001)
722,"Slay,Tamar",Marshall (1998–2002)
723,"Stoudemire,Amar'e",
724,"Trybański,Cezary",
725,"Tskitishvili,Nikoloz",
726,"Wagner,Dajuan",Memphis (2001–2002)
727,"Welsch,Jiří",
728,"Wilcox,Chris",Maryland (2000–2002)
729,"Wilks,Mike",Rice (1997–2001)
730,"Williams,Frank",Illinois (1999–2002)
731,"Williams,Jay",Duke (1999–2002)
732,"Woods,Qyntel","['Moberly Area CC (2000–2001)', 'Northeast Mississippi CC (2001–2002)']"
733,"Yarbrough,Vincent",Tennessee (1998–2002)
734,"Anthony,Carmelo",Syracuse (2002–2003)
735,"Banks,Marcus","['Dixie State (1999–2001)', 'UNLV (2001–2003)']"
736,"Barbosa,Leandro",
737,"Barnes,Matt",UCLA (1998–2002)
738,"Beasley,Jerome","['Midland (1999–2001)', 'North Dakota (2001–2003)']"
739,"Bell,Troy",Boston  (1999–2003)
740,"Blake,Steve",Maryland (1999–2003)
741,"Bogans,Keith",Kentucky (1999–2003)
742,"Borchardt,Curtis",Stanford (1999–2002)
743,"Bosh,Chris",Georgia Tech (2002–2003)
744,"Braggs,Torraye","['San Jose CC (1994–1996)', 'Xavier (1996–1998)']"
745,"Čabarkapa,Žarko",
746,"Carroll,Matt",Notre Dame (1999–2003)
747,"Carter,Maurice",LSU (1995–1999)
748,"Cook,Brian",Illinois (1999–2003)
749,"Cook,Omar",St. John's (2000–2001)
750,"Daniels,Marquis",Auburn (1999–2003)
751,"Davis,Josh",Wyoming (1998–2002)
752,"Diaw,Boris",
753,"Dickens,Kaniel","['Tyler JC (1997–1998)', 'Idaho (1998–2000)']"
754,"Dupree,Ronald",LSU (1999–2003)
755,"Ebi,Ndudi",
756,"Elson,Francisco","['Kilgore  (1995–1997)', 'California (1997–1999)']"
757,"Ferguson,Desmond","['Missouri (1995–1996)', 'Detroit Mercy (1997–2000)']"
758,"Ford,T.J.",Texas (2001–2003)
759,"Frahm,Richie",Gonzaga (1996–2000)
760,"Fuller,Hiram","['Modesto JC (1999–2000)', 'Wabash Valley (2000–2001)', 'Fresno State (2001–2003)']"
761,"Gaines,Reece",Louisville (1999–2003)
762,"Garcia,Alex",
763,"Green,Willie",Detroit Mercy (1999–2003)
764,"Handlogten,Ben",Western Michigan (1992–1996)
765,"Hansen,Travis","['Utah Valley (1996–1997)', 'BYU (2000–2003)']"
766,"Haslem,Udonis",Florida (1998–2002)
767,"Hayes,Jarvis","['Western Carolina (1999–2000)', 'Georgia (2001–2003)']"
768,"Heal,Shane","High schoolUpper Yarra Secondary (Yarra Junction, Victoria)"
769,"Hinrich,Kirk",Kansas (1999–2003)
770,"Howard,Josh",Wake Forest (1999–2003)
771,"Hunter,Brandon",Ohio (1999–2003)
772,"James,LeBron",
773,"Johnsen,Britton","Utah (1997–1998,  2000–2003)"
774,"Johnson,Linton",Tulane (1998–2002)
775,"Jones,Dahntay","['Rutgers (1998–2000)', 'Duke (2001–2003)']"
776,"Jones,James",Miami (FL) (1999–2003)
777,"Kaman,Chris",Central Michigan (2000–2003)
778,"Kapono,Jason",UCLA (1999–2003)
779,"Korver,Kyle",Creighton (1999–2003)
780,"Lampe,Maciej",
781,"López,Raül",
782,"McLeod,Keith",Bowling Green (1998–2002)
783,"Miličić,Darko",
784,"Outlaw,Travis",
785,"Pachulia,Zaza",
786,"Pavlović,Sasha",
787,"Penigar,Desmond","['Ventura  (1999–2001)', 'Utah State (2001–2003)']"
788,"Penney,Kirk",Wisconsin (1999–2003)
789,"Perkins,Kendrick",
790,"Piétrus,Mickaël",
791,"Planinić,Zoran",
792,"Ridnour,Luke",Oregon (2000–2003)
793,"Smith,Theron",Ball State (1999–2003)
794,"Songaila,Darius",Wake Forest (1998–2002)
795,"Sweetney,Mike",Georgetown (2000–2003)
796,"Udoka,Ime","['Utah State Eastern (1995–1997)', 'San Francisco (1997–1998)', 'Portland State (1999–2000)']"
797,"Vraneš,Slavko",
798,"Wade,Dwyane",Marquette (2001–2003)
799,"Walton,Luke",Arizona (1999–2003)
800,"West,David",Xavier (1999–2003)
801,"Williams,Mo",Alabama (2001–2003)
802,"Allen,Tony","['Butler County CC (2000–2001)', 'Wabash Valley (2001–2002)', 'Oklahoma State (2002–2004)']"
803,"Araújo,Rafael","['Arizona Western (2000–2002)', 'BYU (2002–2004)']"
804,"Ariza,Trevor",UCLA (2003–2004)
805,"Baker,Maurice","['Dixie State (1998–2000)', 'Oklahoma State (2000–2002)']"
806,"Barrett,Andre",Seton Hall (2000–2004)
807,"Biedriņš,Andris",
808,"Bobbitt,Tony","[' of Southern Idaho (2000–2002)', 'Cincinnati (2002–2004)']"
809,"Bonner,Matt",Florida (1999–2003)
810,"Burks,Antonio",
811,"Butler,Jackie",
812,"Carlisle,Geno","['Northwestern (1994–1996)', 'California (1997–1999)']"
813,"Chalmers,Lionel",Xavier (2000–2004)
814,"Childress,Josh",Stanford (2001–2004)
815,"Collison,Nick",Kansas (1999–2003)
816,"Daniels,Erik",Kentucky (2000–2004)
817,"Delfino,Carlos",
818,"Deng,Luol",Duke (2003–2004)
819,"Duhon,Chris",Duke (2000–2004)
820,"Edwards,Corsley",Central Connecticut (1998–2002)
821,"Edwards,John",Kent State (2000–2004)
822,"Emmett,Andre",Texas Tech (2000–2004)
823,"Flores,Luis","['Rutgers (1999–2000)', 'Manhattan (2001–2004)']"
824,"Freije,Matt",Vanderbilt (2000–2004)
825,"Gordon,Ben",UConn (2001–2004)
826,"Harris,Devin",Wisconsin (2001–2004)
827,"Harrison,David",Colorado (2001–2004)
828,"Howard,Dwight",
829,"Humphries,Kris",Minnesota (2003–2004)
830,"Iguodala,Andre",Arizona (2002–2004)
831,"Ilunga-Mbenga,Didier",
832,"Ivey,Royal",Texas (2000–2004)
833,"Jackson,Luke",Oregon (2000–2004)
834,"Jefferson,Al",
835,"Jenkins,Horace","['Union County (1993–1994)', 'William Paterson (1998–2001)']"
836,"Jones,Mark",
837,"Kasun,Mario",
838,"Khryapa,Viktor",
839,"Knight,Brandin",Pittsburgh (1999–2003)
840,"Krstić,Nenad",
841,"Kutluay,Ibo",
842,"Livingston,Shaun",
843,"Martin,Kevin",Western Carolina (2001–2004)
844,"Nelson,Jameer",Saint Joseph's (2000–2004)
845,"Nocioni,Andrés",
846,"Okafor,Emeka",UConn (2001–2004)
847,"Podkolzin,Pavel",
848,"Ramos,Peter John",
849,"Reed,Justin",Ole Miss (2000–2004)
850,"Reiner,Jared",Iowa (2000–2004)
851,"Robinson,Bernard",Michigan (2000–2004)
852,"Ross,Quinton",SMU (1999–2003)
853,"Seung-Jin,Ha",Yonsei (2003–2004)
854,"Smith,Donta",Southeastern Illinois (2002–2004)
855,"Smith,J.R.",
856,"Smith,Josh","Born (1985-12-05) December 5, 1985 (age 37) Park, Georgia, U.S."
857,"Snyder,Kirk",Nevada (2001–2004)
858,"Sow,Pape","['Chaffey  (2000–2001)', 'Cal State Fullerton (2001–2004)']"
859,"Storey,Awvee","['Illinois (1997–1998)', 'Arizona State (1999–2002)']"
860,"Swift,Robert",
861,"Tabuse,Yuta",BYU–Hawaii (2001–2002)
862,"Telfair,Sebastian",
863,"Thomas,Billy","High schoolLoyola  Prep(Shreveport, Louisiana)"
864,"Thomas,James",
865,"Udrih,Beno",
866,"Varejão,Anderson",
867,"Vroman,Jackson","['Snow  (2000–2002)', 'Iowa State (2002–2004)']"
868,"Vujačić,Sasha",
869,"West,Delonte",Saint Joseph's (2001–2004)
870,"Wilkins,Damien","['NC State (1999–2001)', 'Georgia (2002–2004)']"
871,"Wright,Dorell",
872,"Acker,Alex",Pepperdine (2002–2005)
873,"Anderson,Alan",Michigan State (2001–2005)
874,"Andriuškevičius,Martynas",
875,"Barron,Earl",Memphis (1999–2003)
876,"Basden,Eddie",Charlotte (2001–2005)
877,"Bass,Brandon",LSU (2003–2005)
878,"Batista,Esteban",
879,"Blatche,Andray",
880,"Bogut,Andrew","['High school', ""St John's Regional (Melbourne, Victoria)"", 'Lake Ginninderra(Canberra, Australian Capital Territory)']"
881,"Burleson,Kevin",Minnesota (1999–2003)
882,"Bynum,Andrew",
883,"Bynum,Will","['Arizona (2001–2003)', 'Georgia Tech (2003–2005)']"
884,"Calderón,José",
885,"Diener,Travis",Marquette (2001–2005)
886,"Diogu,Ike",Arizona State (2002–2005)
887,"Ellis,Monta",
888,"Ewing,Daniel",Duke (2001–2005)
889,"Felix,Noel",Fresno State (1999–2003)
890,"Felton,Raymond",North Carolina (2002–2005)
891,"Fitch,Gerald",Kentucky (2000–2004)
892,"Ford,Sharrod",Clemson (2001–2005)
893,"Frye,Channing",Arizona (2001–2005)
894,"Gai,Deng",Fairfield (2001–2005)
895,"García,Francisco",Louisville (2002–2005)
896,"Gomes,Ryan",Providence (2001–2005)
897,"Graham,Joey","['UCF (2000–2002)', 'Oklahoma State (2003–2005)']"
898,"Graham,Stephen","['UCF (2000–2002)', 'Oklahoma State (2003–2005)']"
899,"Granger,Danny","['Bradley (2001–2003)', 'New Mexico (2003–2005)']"
900,"Green,Devin",Hampton (2001–2005)
901,"Green,Gerald",
902,"Greene,Orien","['Florida (2000–2002)', 'Louisiana (2003–2005)']"
903,"Grundy,Anthony",NC State (1998–2002)
904,"Hayes,Chuck",Kentucky (2001–2005)
905,"Head,Luther",Illinois (2001–2005)
906,"Hodge,Julius",NC State (2001–2005)
907,"Holcomb,Randy","['Fresno State (1998–1999)', 'Los Angeles CC (1999–2000)', 'San Diego State (2000–2002)']"
908,"Jack,Jarrett",Georgia Tech (2002–2005)
909,"Jasikevičius,Šarūnas",Maryland (1994–1998)
910,"Johnson,Amir",
911,"Jones,Dwayne",Saint Joseph's (2002–2005)
912,"Kleiza,Linas",Missouri (2003–2005)
913,"Korolev,Yaroslav",
914,"Lee,David",Florida (2001–2005)
915,"Lucas III,John","['Baylor (2001–2003)', 'Oklahoma State (2003–2005)']"
916,"Macijauskas,Arvydas",
917,"Marshall,Rawle","['Ball State (2000–2001)', 'Oakland (2002–2005)']"
918,"Maxiell,Jason",Cincinnati (2001–2005)
919,"May,Sean",North Carolina (2002–2005)
920,"McCants,Rashad",North Carolina (2002–2005)
921,"Miles,Aaron",Kansas (2001–2005)
922,"Miles,C.J.",
923,"Monia,Sergei",
924,"N'Dong,Boniface",
925,"Oberto,Fabricio",
926,"Owens,Andre","['Indiana (2000–2001)', 'Houston (2002–2005)']"
927,"Paul,Chris",Wake Forest (2003–2005)
928,"Petro,Johan",
929,"Powell,Josh",NC State (2001–2003)
930,"Price,Ronnie","['Nicholls (2001–2002)', 'Utah Valley (2002–2005)']"
931,"Randolph,Shavlik",Duke (2002–2005)
932,"Roberson,Anthony",Florida (2002–2005)
933,"Roberts,Lawrence","['Baylor (2001–2003)', 'Mississippi State (2003–2005)']"
934,"Robinson,Nate",Washington (2002–2005)
935,"Sanders,Melvin","['Seward County CC (1999–2000)', 'Oklahoma State (2000–2003)']"
936,"Scales,Alex","['San Jacinto (1996–1998)', 'Oregon (1998–2000)']"
937,"Schenscher,Luke","['High school', 'Cardijn (Adelaide, South Australia)', 'Lake Ginninderra (Canberra, ACT)']"
938,"Simien,Wayne",Kansas (2001–2005)
939,"Singleton,James",Pearl River CC (1999–2001)Murray State (2001–2003)
940,"Stoudamire,Salim",Arizona (2001–2005)
941,"Taft,Chris",Pittsburgh (2003–2005)
942,"Taylor,Donell","['Northwest Florida State (2001–2003)', 'UAB (2003–2005)']"
943,"Thompson,Dijon",UCLA (2001–2005)
944,"Turiaf,Ronny",Gonzaga (2001–2005)
945,"Villanueva,Charlie",UConn (2003–2005)
946,"Wafer,Von",Florida State (2003–2005)
947,"Walsh,Matt",
948,"Warrick,Hakim",Syracuse (2001–2005)
949,"Webster,Martell",
950,"Whaley,Robert","['Barton CC (2001–2003)', 'Cincinnati (2003–2004)', 'Walsh (2004–2005)']"
951,"Williams,Deron",Illinois (2002–2005)
952,"Williams,Lou",
953,"Williams,Marvin",North Carolina (2004–2005)
954,"Wright,Antoine",Texas A&M (2002–2005)
955,"Wright,Bracey",Indiana (2002–2005)
956,"Zimmerman,Derrick",Mississippi State (1999–2003)
957,"Adams,Hassan",Arizona (2002–2006)
958,"Ager,Maurice",Michigan State (2002–2006)
959,"Aldridge,LaMarcus",Texas (2004–2006)
960,"Amundson,Lou",UNLV (2001–2006)
961,"Armstrong,Hilton",UConn (2002–2006)
962,"Augustine,James",Illinois (2002–2006)
963,"Azubuike,Kelenna",Kentucky (2002–2005)
964,"Balkman,Renaldo",South Carolina (2003–2006)
965,"Barea,J.J.",Northeastern (2002–2006)
966,"Bargnani,Andrea",
967,"Blalock,Will",Iowa State (2003–2006)
968,"Boone,Josh",UConn (2003–2006)
969,"Bozeman,Cedric",UCLA (2002–2006)
970,"Brewer,Ronnie",Arkansas (2003–2006)
971,"Brown,Andre",DePaul (2000–2004)
972,"Brown,Shannon",Michigan State (2003–2006)
973,"Carney,Rodney",Memphis (2002–2006)
974,"Collins,Mardy",Temple (2002–2006)
975,"Conroy,Will",Washington (2001–2005)
976,"Davis,Paul",Michigan State (2002–2006)
977,"Diawara,Yakhouba",Southern Idaho (2001–2003)Pepperdine (2003–2005)
978,"Douby,Quincy",Rutgers (2003–2006)
979,"Farmar,Jordan",UCLA (2004–2006)
980,"Farmer,Desmon",USC (2000–2004)
981,"Foye,Randy",Villanova (2002–2006)
982,"Garbajosa,Jorge",
983,"Gay,Rudy",UConn (2004–2006)
984,"Gelabale,Mickaël",
985,"Gibson,Daniel",Texas (2004–2006)
986,"Glyniadakis,Andreas",
987,"Greer,Lynn",Temple (1997–2002)
988,"Hall,Mike",
989,"Herrmann,Walter",
990,"Hite,Robert",Miami (Florida) (2002–2006)
991,"Hollins,Ryan",UCLA (2002–2006)
992,"Ilić,Mile",
993,"İlyasova,Ersan",
994,"Johnson,Alexander",Florida State (2003–2006)
995,"Jones,Bobby",North Carolina (1971–1974)
996,"Jones,Solomon","['Daytona State (2002–2004)', 'South Florida (2004–2006)']"
997,"Kinsey,Tarence",South Carolina (2002–2006)
998,"Lang,James",
999,"Lowry,Kyle",Villanova (2004–2006)
1000,"Major,Renaldo","['South Plains (2000–2002)', 'Fresno State (2002–2004)']"
1001,"Markota,Damir",
1002,"McCray,Chris",Maryland (2002–2006)
1003,"McFarlin,Ivan",Oklahoma State (2001–2005)
1004,"Mensah-Bonsu,Pops",George Washington (2002–2006)
1005,"Millsap,Paul",Louisiana Tech (2003–2006)
1006,"Morris,Randolph",Kentucky (2004–2007)
1007,"Morrison,Adam",Gonzaga (2003–2006)
1008,"Noel,David",North Carolina (2002–2006)
1009,"Novak,Steve",Marquette (2002–2006)
1010,"O'Bryant,Patrick",Bradley (2004–2006)
1011,"Pinkney,Kevinn",Nevada (2001–2005)
1012,"Powe,Leon",California (2003–2006)
1013,"Powell,Roger",Illinois (2001–2005)
1014,"Quinn,Chris",Notre Dame (2002–2006)
1015,"Ray,Allan",Villanova (2002–2006)
1016,"Redick,J.J.",Duke (2002–2006)
1017,"Richardson,Jeremy","['Copiah-Lincoln CC (2002–2004)', 'Delta State (2004–2006)']"
1018,"Rodríguez,Sergio",
1019,"Rondo,Rajon",Kentucky (2004–2006)
1020,"Roy,Brandon",Washington (2002–2006)
1021,"Sefolosha,Thabo",
1022,"Sene,Mouhamed",
1023,"Simmons,Cedric",NC State (2004–2006)
1024,"Slokar,Uroš",
1025,"Smith,Craig",Boston  (2002–2006)
1026,"Smith,Steven",
1027,"Spanoulis,Vassilis",
1028,"Thomas,Tyrus",LSU (2005–2006)
